datetime,pressure,temp,pressure_atmo,temp_atmo,wl_corr,wl_final,Q_mid,Q_low,Q_high
2025-08-03T23:00:00+00:00,717.042,0.517,663.9,7.267,53.14200000000005,67.37150000000008,1.3700019493439397,0.9590013645407577,1.7810025341471216
2025-08-04T00:00:00+00:00,716.867,0.493,663.608,6.767,53.259000000000015,67.48850000000004,1.377681500937032,0.9643770506559224,1.7909859512181416
2025-08-04T01:00:00+00:00,716.575,0.453,663.725,6.733,52.85000000000002,67.07950000000005,1.35094826422141,0.9456637849549868,1.7562327434878329
2025-08-04T02:00:00+00:00,716.867,0.487,663.608,7.017,53.259000000000015,67.48850000000004,1.377681500937032,0.9643770506559224,1.7909859512181416
2025-08-04T03:00:00+00:00,716.75,0.76,663.608,7.203,53.14200000000005,67.37150000000008,1.3700019493439397,0.9590013645407577,1.7810025341471216
2025-08-04T04:00:00+00:00,717.158,1.227,663.725,7.493,53.43299999999999,67.66250000000002,1.389150105673097,0.9724050739711678,1.8058951373750263
2025-08-04T05:00:00+00:00,726.783,1.313,663.608,8.07,63.17500000000007,77.4045000000001,2.1251913787305012,1.4876339651113508,2.762748792349652
2025-08-04T06:00:00+00:00,738.508,1.29,663.608,8.71,74.90000000000009,89.12950000000012,3.2711763143785335,2.289823420064973,4.252529208692094
2025-08-04T07:00:00+00:00,738.508,1.313,663.142,9.507,75.36599999999999,89.59550000000002,3.322930385661567,2.326051269963097,4.319809501360037
2025-08-04T08:00:00+00:00,741.075,1.307,662.733,10.297,78.3420000000001,92.57150000000011,3.6650403158236897,2.565528221076583,4.764552410570797
2025-08-04T09:00:00+00:00,736.0,1.37,662.558,11.313,73.44200000000001,87.67150000000004,3.112390852586852,2.178673596810796,4.046108108362908
2025-08-04T10:00:00+00:00,737.925,1.43,662.442,11.837,75.48299999999995,89.71249999999998,3.336001149598972,2.33520080471928,4.336801494478664
2025-08-04T11:00:00+00:00,735.825,1.383,662.85,12.273,72.97500000000002,87.20450000000005,3.062532471146063,2.143772729802244,3.981292212489882
2025-08-04T12:00:00+00:00,730.458,1.353,663.9,13.017,66.55799999999999,80.78750000000002,2.4256580033338855,1.6979606023337197,3.153355404334051
2025-08-04T13:00:00+00:00,729.175,1.25,663.9,12.58,65.27499999999998,79.50450000000001,2.3088942903937135,1.6162260032755993,3.0015625775118275
2025-08-04T14:00:00+00:00,725.383,1.11,664.017,12.08,61.36599999999999,75.59550000000002,1.9742235828997294,1.3819565080298106,2.5664906577696485
2025-08-04T15:00:00+00:00,721.008,0.987,664.6,11.46,56.408000000000015,70.63750000000005,1.5941602264879169,1.1159121585415417,2.072408294434292
2025-08-04T16:00:00+00:00,717.858,0.83,664.775,10.937,53.08299999999997,67.3125,1.3661391330555328,0.9562973931388729,1.7759808729721926
2025-08-04T17:00:00+00:00,716.458,0.72,664.308,10.53,52.14999999999998,66.37950000000001,1.305922678026573,0.914145874618601,1.6976994814345447
2025-08-04T18:00:00+00:00,715.35,0.673,664.192,9.867,51.158000000000015,65.38750000000005,1.2436785315714265,0.8705749720999985,1.6167820910428545
2025-08-04T19:00:00+00:00,714.475,0.65,663.433,9.483,51.04200000000003,65.27150000000006,1.2365189978178828,0.8655632984725179,1.6074746971632476
2025-08-04T20:00:00+00:00,714.183,0.61,663.608,9.07,50.575000000000045,64.80450000000008,1.2079464918522413,0.8455625442965689,1.5703304394079138
2025-08-04T21:00:00+00:00,713.775,0.587,663.317,8.83,50.45799999999997,64.6875,1.200850860947895,0.8405956026635264,1.5611061192322635
2025-08-04T22:00:00+00:00,713.367,0.61,663.025,8.493,50.34199999999999,64.57150000000001,1.1938406557053367,0.8356884589937357,1.5519928524169377
2025-08-04T23:00:00+00:00,713.192,0.563,662.85,8.07,50.34199999999999,64.57150000000001,1.1938406557053367,0.8356884589937357,1.5519928524169377
2025-08-05T00:00:00+00:00,713.075,0.517,662.85,7.773,50.22500000000002,64.45450000000005,1.186794980869349,0.8307564866085443,1.5428334751301538
2025-08-05T01:00:00+00:00,713.192,0.5,662.85,7.64,50.34199999999999,64.57150000000001,1.1938406557053367,0.8356884589937357,1.5519928524169377
2025-08-05T02:00:00+00:00,713.483,0.517,663.142,7.813,50.34099999999989,64.57049999999992,1.1937803300819545,0.8356462310573681,1.551914429106541
2025-08-05T03:00:00+00:00,713.892,0.947,663.317,7.883,50.575000000000045,64.80450000000008,1.2079464918522413,0.8455625442965689,1.5703304394079138
2025-08-05T04:00:00+00:00,714.067,1.213,663.317,8.023,50.75,64.97950000000003,1.218606528127741,0.8530245696894186,1.5841884865660634
2025-08-05T05:00:00+00:00,725.908,1.33,663.025,8.337,62.88300000000004,77.11250000000007,2.100369850921985,1.4702588956453895,2.730480806198581
2025-08-05T06:00:00+00:00,735.125,1.36,662.733,8.953,72.39200000000005,86.62150000000008,3.0009671614205473,2.100677012994383,3.9012573098467116
2025-08-05T07:00:00+00:00,738.8,1.353,662.442,9.843,76.35799999999995,90.58749999999998,3.434732027818152,2.4043124194727064,4.465151636163598
2025-08-05T08:00:00+00:00,736.233,1.33,663.317,9.82,72.91599999999994,87.14549999999997,3.056267840325971,2.13938748822818,3.9731481924237624
2025-08-05T09:00:00+00:00,728.767,1.127,663.433,8.303,65.33400000000006,79.56350000000009,2.3141879864367407,1.6199315905057183,3.008444382367763
2025-08-05T10:00:00+00:00,723.517,1.05,663.433,8.733,60.08400000000006,74.31350000000009,1.8712576001157961,1.3098803200810571,2.432634880150535
2025-08-05T11:00:00+00:00,724.8,1.3,663.608,9.483,61.19200000000001,75.42150000000004,1.9600538918799404,1.3720377243159583,2.5480700594439227
2025-08-05T12:00:00+00:00,724.508,1.283,663.9,9.15,60.60800000000006,74.83750000000009,1.9129433020951898,1.3390603114666328,2.486826292723747
2025-08-05T13:00:00+00:00,722.408,1.173,663.9,9.43,58.50800000000004,72.73750000000007,1.749190366685171,1.2244332566796197,2.273947476690722
2025-08-05T14:00:00+00:00,721.242,1.087,664.308,9.297,56.93399999999997,71.1635,1.6321815856590112,1.1425271099613077,2.1218360613567144
2025-08-05T15:00:00+00:00,719.842,0.837,664.6,8.453,55.24199999999996,69.47149999999999,1.5117884379664845,1.058251906576539,1.96532496935643
2025-08-05T16:00:00+00:00,718.442,0.767,664.6,8.36,53.84199999999999,68.07150000000001,1.4163332078296578,0.9914332454807604,1.8412331701785551
2025-08-05T17:00:00+00:00,718.033,0.703,664.775,7.797,53.25800000000004,67.48750000000007,1.3776157544510108,0.9643310281157075,1.790900480786314
2025-08-05T18:00:00+00:00,717.158,0.643,664.6,7.507,52.55799999999999,66.78750000000002,1.3320546743519315,0.932438272046352,1.731671076657511
2025-08-05T19:00:00+00:00,717.042,0.58,664.192,6.923,52.85000000000002,67.07950000000005,1.35094826422141,0.9456637849549868,1.7562327434878329
2025-08-05T20:00:00+00:00,715.875,0.54,664.017,6.61,51.85799999999995,66.08749999999998,1.287411027587941,0.9011877193115586,1.6736343358643233
2025-08-05T21:00:00+00:00,716.05,0.487,664.017,6.413,52.0329999999999,66.26249999999993,1.2984862727586306,0.9089403909310414,1.6880321545862198
2025-08-05T22:00:00+00:00,715.467,0.453,663.317,5.983,52.14999999999998,66.37950000000001,1.305922678026573,0.914145874618601,1.6976994814345447
2025-08-05T23:00:00+00:00,715.175,0.423,663.317,5.61,51.85799999999995,66.08749999999998,1.287411027587941,0.9011877193115586,1.6736343358643233
2025-08-06T00:00:00+00:00,715.175,0.393,663.608,5.5,51.56700000000001,65.79650000000004,1.2691205083826191,0.8883843558678334,1.649856660897405
2025-08-06T01:00:00+00:00,715.058,0.383,663.608,5.14,51.450000000000045,65.67950000000008,1.2618108684646783,0.8832676079252747,1.6403541290040817
2025-08-06T02:00:00+00:00,715.467,0.4,663.608,5.36,51.85900000000004,66.08850000000007,1.287474152833067,0.9012319069831469,1.6737163986829873
2025-08-06T03:00:00+00:00,715.758,0.673,664.017,5.82,51.74099999999999,65.97050000000002,1.2800382051208024,0.8960267435845616,1.664049666657043
2025-08-06T04:00:00+00:00,715.467,1.203,663.433,6.203,52.03399999999999,66.26350000000002,1.298549723698876,0.9089848065892131,1.6881146408085388
